run,ep,result,passos,recompensa,taxa_vitoria
3,159,MORTE,1,-100.0,0.0
3,160,MORTE,1,-100.0,0.0
3,161,MORTE,1,-100.0,0.0
3,162,MORTE,1,-100.0,0.0
3,163,MORTE,1,-100.0,0.0
3,164,MORTE,1,-100.0,0.0
3,165,MORTE,1,-100.0,0.0
3,166,MORTE,1,-100.0,0.0
3,167,MORTE,1,-100.0,0.0
3,168,MORTE,1,-100.0,0.0
3,169,MORTE,1,-100.0,0.0
3,170,MORTE,1,-100.0,0.0
3,171,MORTE,29,-76.0,0.0
3,172,MORTE,1,-100.0,0.0
3,173,MORTE,1,-100.0,0.0
3,174,MORTE,1,-100.0,0.0
3,175,MORTE,1,-100.0,0.0
3,176,MORTE,1,-100.0,0.0
3,177,MORTE,1,-100.0,0.0
3,178,MORTE,1,-100.0,0.0
3,179,MORTE,1,-100.0,0.0
3,180,MORTE,1,-100.0,0.0
3,181,MORTE,1,-100.0,0.0
3,182,MORTE,1,-100.0,0.0
3,183,MORTE,1,-100.0,0.0
3,184,MORTE,1,-100.0,0.0
3,185,MORTE,31,-70.0,0.0
3,186,MORTE,1,-100.0,0.0
3,187,MORTE,1,-100.0,0.0
3,188,MORTE,1,-100.0,0.0
3,189,MORTE,1,-100.0,0.0
3,190,MORTE,1,-100.0,0.0
3,191,MORTE,1,-100.0,0.0
3,192,MORTE,1,-100.0,0.0
3,193,MORTE,1,-100.0,0.0
3,194,MORTE,1,-100.0,0.0
3,195,MORTE,25,-76.0,0.0
3,196,MORTE,1,-100.0,0.0
3,197,MORTE,1,-100.0,0.0
4,1,MORTE,150,-45.0,0.0
4,2,MORTE,101,-2.0,0.0
4,3,MORTE,100,-31.0,0.0
4,4,MORTE,100,-31.0,0.0
4,5,MORTE,100,-25.0,0.0
4,6,MORTE,100,-11.0,0.0
4,7,MORTE,133,-78.0,0.0
4,8,MORTE,100,-55.0,0.0
4,9,MORTE,100,-25.0,0.0
4,10,MORTE,138,-61.0,0.0
4,11,MORTE,100,-79.0,0.0
4,12,MORTE,112,-55.0,0.0
5,1,MORTE,400,45.0,0.0
5,2,MORTE,436,59.0,0.0
7,1,MORTE,805,370.0,0.0
8,1,MORTE,1,-100.0,0.0
8,2,MORTE,1,-100.0,0.0
11,1,MORTE,1558,539.0,0.0
11,2,MORTE,1,-100.0,0.0
11,3,MORTE,1,-100.0,0.0
12,1,MORTE,1290,641.0,0.0
14,1,VITORIA,447,740.0,100.0
14,2,MORTE,115,-90.0,50.0
15,1,MORTE,1766,615.0,0.0
15,2,MORTE,1,-100.0,0.0
15,3,MORTE,1,-100.0,0.0
16,1,MORTE,1661,846.0,0.0
16,2,MORTE,1,-100.0,0.0
17,1,VITORIA,649,866.0,100.0
18,1,MORTE,1768,1125.0,0.0
18,2,MORTE,12,-89.0,0.0
18,3,MORTE,1,-100.0,0.0
19,1,MORTE,652,125.0,0.0
20,1,MORTE,663,190.0,0.0
21,1,MORTE,755,280.0,0.0
23,1,MORTE,610,161.9,0.0
23,2,VITORIA,3,501.7,50.0
23,3,MORTE,557,51.7,33.3
23,4,VITORIA,3,501.2,50.0
25,1,MORTE,661,135.7,0.0
25,2,VITORIA,3,501.5,50.0
25,3,MORTE,708,167.8,33.3
25,4,VITORIA,3,502.0,50.0
25,5,MORTE,659,171.9,40.0
25,6,MORTE,1,-100.0,33.3
25,7,VITORIA,3,502.0,42.9
27,1,MORTE,540,108.0,0.0
27,2,MORTE,528,77.2,0.0
27,3,MORTE,691,221.2,0.0
27,4,MORTE,463,43.0,0.0
27,5,MORTE,637,108.2,0.0
28,1,MORTE,488,226.5,0.0
28,2,MORTE,349,40.6,0.0
28,3,MORTE,439,72.3,0.0
28,4,MORTE,398,29.7,0.0
28,5,MORTE,793,199.5,0.0
